FID,OBJECTID,DBUID,DAUID,CDUID,Tract,CensusBloc,BlockArea,SHAPE_Leng,SHAPE_Area
0,8573,2481037926,240818103790026,2481,24081810379,240818103790026,2.503900051,0.087470665,0.000279738
1,12074,2481041805,240818104180005,2481,24081810418,240818104180005,0.0375617,0.011504484,4.1923E-06
2,10960,2481042007,240818104200007,2481,24081810420,240818104200007,0.890567005,0.106674059,9.94389E-05
3,10689,2481029827,240818102980027,2481,24081810298,240818102980027,0.240646005,0.029972606,2.68154E-05
4,11143,2481042601,240818104260001,2481,24081810426,240818104260001,0.0186071,0.006227532,2.07985E-06
5,11776,2481022901,240818102290001,2481,24081810229,240818102290001,0.0308036,0.007537633,3.45565E-06
6,12050,2481038803,240818103880003,2481,24081810388,240818103880003,0.079337299,0.018203652,0.000008868
7,13926,2481029101,240818102910001,2481,24081810291,240818102910001,0.00740344,0.00397592,8.256E-07
8,13934,2481028305,240818102830005,2481,24081810283,240818102830005,0.0144189,0.006010338,1.62165E-06
9,13212,2481028403,240818102840003,2481,24081810284,240818102840003,0.0146371,0.00598508,1.6338E-06
10,12606,2481019601,240818101960001,2481,24081810196,240818101960001,0.163260996,0.033378289,1.82323E-05
11,12694,2481041804,240818104180004,2481,24081810418,240818104180004,0.349180996,0.043970111,3.89881E-05
12,12879,2481027905,240818102790005,2481,24081810279,240818102790005,0.0138088,0.006096087,1.52505E-06
13,13038,2481019204,240818101920004,2481,24081810192,240818101920004,0.042461202,0.009567132,4.746E-06
14,13238,2481008904,240818100890004,2481,24081810089,240818100890004,0.037209101,0.010759465,4.1601E-06
15,13390,2481003901,240818100390001,2481,24081810039,240818100390001,0.0754719,0.012368147,8.4273E-06
16,13638,2481022801,240818102280001,2481,24081810228,240818102280001,0.0175969,0.005981126,1.9591E-06
17,14179,2481027903,240818102790003,2481,24081810279,240818102790003,0.0141292,0.006140431,1.5696E-06
18,14465,2481020005,240818102000005,2481,24081810200,240818102000005,0.0132082,0.004882352,1.47655E-06
19,14771,2481041802,240818104180002,2481,24081810418,240818104180002,0.0144345,0.007151551,1.6228E-06
20,14800,2481019602,240818101960002,2481,24081810196,240818101960002,0.056021702,0.012527266,6.27755E-06
21,14961,2481029708,240818102970008,2481,24081810297,240818102970008,0.00910895,0.004159276,1.01685E-06
22,15195,2481023705,240818102370005,2481,24081810237,240818102370005,0.017232699,0.007083043,1.94225E-06
23,15299,2481042606,240818104260006,2481,24081810426,240818104260006,0.035518199,0.009611431,3.96935E-06
24,17338,2481029802,240818102980002,2481,24081810298,240818102980002,0.0100622,0.004331752,1.1256E-06
25,17872,2481039401,240818103940001,2481,24081810394,240818103940001,0.393447995,0.056005212,4.39553E-05
26,15939,2481028901,240818102890001,2481,24081810289,240818102890001,0.00951749,0.004647598,1.05725E-06
27,16005,2481020009,240818102000009,2481,24081810200,240818102000009,1.117339969,0.068549509,0.000124668
28,16257,2481039702,240818103970002,2481,24081810397,240818103970002,0.0503227,0.013963222,5.62275E-06
29,16378,2481039111,240818103910011,2481,24081810391,240818103910011,0.50692898,0.042223964,5.66094E-05
30,16867,2481003831,240818100380031,2481,24081810038,240818100380031,2.846149921,0.123075012,0.000317926
31,18430,2481024401,240818102440001,2481,24081810244,240818102440001,0.076618001,0.016684676,8.52675E-06
32,17208,2481026908,240818102690008,2481,24081810269,240818102690008,0.0191046,0.006127126,2.1299E-06
33,17271,2481009406,240818100940006,2481,24081810094,240818100940006,0.0171436,0.005821858,1.9137E-06
34,17952,2481023706,240818102370006,2481,24081810237,240818102370006,0.036813401,0.011868182,4.0996E-06
35,18198,2481038905,240818103890005,2481,24081810389,240818103890005,0.064259499,0.016268727,7.18685E-06
36,18660,2481008903,240818100890003,2481,24081810089,240818100890003,0.031443801,0.010166285,3.5056E-06
37,18821,2481028402,240818102840002,2481,24081810284,240818102840002,0.0148125,0.006001232,1.6571E-06
38,19508,2481028619,240818102860019,2481,24081810286,240818102860019,0.050870199,0.016526924,5.6716E-06
39,19616,2481023001,240818102300001,2481,24081810230,240818102300001,0.068959601,0.01210192,7.7156E-06
40,20004,2481008404,240818100840004,2481,24081810084,240818100840004,0.0109953,0.005065852,1.2306E-06
41,20140,2481003838,240818100380038,2481,24081810038,240818100380038,0.41563499,0.032912272,4.64327E-05
42,20190,2481029705,240818102970005,2481,24081810297,240818102970005,0.0111806,0.004526362,1.248E-06
43,23236,2481003018,240818100300018,2481,24081810030,240818100300018,8.694080353,0.744089537,0.00097142
44,23692,2481041803,240818104180003,2481,24081810418,240818104180003,0.027518401,0.010299511,3.0625E-06
45,20342,2481042706,240818104270006,2481,24081810427,240818104270006,0.0752187,0.01327393,8.40645E-06
46,20534,2481029103,240818102910003,2481,24081810291,240818102910003,0.0112066,0.005238383,1.2521E-06
47,21114,2481009002,240818100900002,2481,24081810090,240818100900002,0.0292482,0.007628523,3.26085E-06
48,21359,2481039113,240818103910013,2481,24081810391,240818103910013,0.138455003,0.017210563,1.54499E-05
49,21597,2481009408,240818100940008,2481,24081810094,240818100940008,0.080085702,0.012497108,8.9431E-06
50,24145,2481026803,240818102680003,2481,24081810268,240818102680003,0.0190145,0.007231163,2.1014E-06
51,21732,2481008505,240818100850005,2481,24081810085,240818100850005,0.039888099,0.010514437,4.4746E-06
52,22441,2481029102,240818102910002,2481,24081810291,240818102910002,0.0308754,0.007376891,3.42535E-06
53,22567,2481019605,240818101960005,2481,24081810196,240818101960005,0.254914999,0.073422017,2.84441E-05
54,22603,2481028401,240818102840001,2481,24081810284,240818102840001,0.0132545,0.00586154,1.4742E-06
55,22756,2481022902,240818102290002,2481,24081810229,240818102290002,0.049015999,0.020806436,5.44715E-06
56,22787,2481022806,240818102280006,2481,24081810228,240818102280006,0.0237792,0.007155516,2.64775E-06
57,23063,2481028303,240818102830003,2481,24081810283,240818102830003,0.0135815,0.005922526,0.000001511
58,24970,2481020007,240818102000007,2481,24081810200,240818102000007,0.289965987,0.034077414,3.23954E-05
59,23327,2481042605,240818104260005,2481,24081810426,240818104260005,0.020935399,0.00611505,2.3346E-06
60,23586,2481019401,240818101940001,2481,24081810194,240818101940001,0.229194999,0.029395367,2.56004E-05
61,23639,2481028907,240818102890007,2481,24081810289,240818102890007,0.00851648,0.004286614,9.496E-07
62,24056,2481022501,240818102250001,2481,24081810225,240818102250001,0.083729699,0.017296426,9.3345E-06
63,24239,2481028404,240818102840004,2481,24081810284,240818102840004,0.0141532,0.006013942,1.5765E-06
64,24616,2481010315,240818101030015,2481,24081810103,240818101030015,1.501739979,0.144452956,0.000167696
65,25528,2481027804,240818102780004,2481,24081810278,240818102780004,0.121201001,0.017170818,1.35203E-05
66,25717,2481038902,240818103890002,2481,24081810389,240818103890002,0.025754301,0.01046028,2.8758E-06
67,26193,2481029801,240818102980001,2481,24081810298,240818102980001,0.00963275,0.004288249,1.07355E-06
68,29086,2481009402,240818100940002,2481,24081810094,240818100940002,0.0193935,0.006348377,2.1674E-06
69,25956,2481042607,240818104260007,2481,24081810426,240818104260007,0.035292599,0.012088132,3.9437E-06
70,26825,2481028302,240818102830002,2481,24081810283,240818102830002,0.0143698,0.006062235,1.59835E-06
71,26996,2481038011,240818103800011,2481,24081810380,240818103800011,0.635308027,0.091464975,7.098E-05
72,28570,2481042610,240818104260010,2481,24081810426,240818104260010,0.74366802,0.096101984,8.30069E-05
73,27479,2481018602,240818101860002,2481,24081810186,240818101860002,0.019008899,0.005927733,0.000002111
74,27966,2481028301,240818102830001,2481,24081810283,240818102830001,0.0144778,0.006156752,1.6233E-06
75,28280,2481018604,240818101860004,2481,24081810186,240818101860004,0.842450976,0.096781354,9.40756E-05
76,28810,2481042204,240818104220004,2481,24081810422,240818104220004,0.550616026,0.049619645,6.15337E-05
77,30035,2481028405,240818102840005,2481,24081810284,240818102840005,0.0167023,0.006348198,0.000001858
78,29449,2481019603,240818101960003,2481,24081810196,240818101960003,0.064314701,0.015816621,7.16385E-06
79,29567,2481042608,240818104260008,2481,24081810426,240818104260008,0.035932999,0.010138553,4.00515E-06
80,30029,2481010601,240818101060001,2481,24081810106,240818101060001,0.165586993,0.022787362,1.8488E-05
81,30321,2481028703,240818102870003,2481,24081810287,240818102870003,0.0109631,0.004853204,1.22405E-06
82,30458,2481029707,240818102970007,2481,24081810297,240818102970007,0.0130254,0.00484598,1.45695E-06
83,30740,2481020006,240818102000006,2481,24081810200,240818102000006,0.221802995,0.069011984,2.47549E-05
84,30765,2481009407,240818100940007,2481,24081810094,240818100940007,0.090682603,0.016052548,1.01279E-05
85,30963,2481028514,240818102850014,2481,24081810285,240818102850014,0.039854299,0.013511817,4.43945E-06
86,31653,2481022601,240818102260001,2481,24081810226,240818102260001,0.037032701,0.013006158,4.14905E-06
87,31818,2481026810,240818102680010,2481,24081810268,240818102680010,0.016346,0.006426812,1.82075E-06
88,32019,2481038901,240818103890001,2481,24081810389,240818103890001,0.0099434,0.004779494,1.1062E-06
89,32105,2481039109,240818103910009,2481,24081810391,240818103910009,0.067700297,0.011501595,7.56045E-06
90,32252,2481019011,240818101900011,2481,24081810190,240818101900011,0.650626004,0.07189617,7.25514E-05
91,32261,2481029606,240818102960006,2481,24081810296,240818102960006,0.129508004,0.02204403,1.44436E-05
92,32305,2481010012,240818101000012,2481,24081810100,240818101000012,0.492549986,0.042537157,5.50033E-05
93,32617,2481027904,240818102790004,2481,24081810279,240818102790004,0.0144778,0.006174695,1.6235E-06
94,32749,2481023505,240818102350005,2481,24081810235,240818102350005,0.031286199,0.00912263,3.48275E-06
95,33018,2481038903,240818103890003,2481,24081810389,240818103890003,0.022287199,0.00964276,2.47995E-06
96,33311,2481022509,240818102250009,2481,24081810225,240818102250009,0.031806398,0.009426627,3.53625E-06
97,33736,2481028304,240818102830004,2481,24081810283,240818102830004,0.0139133,0.005950463,1.5445E-06
